ID,Uloga,Ekran,Element/funkcija,Preduslov,Akcija,Očekivani rezultat,Test,Rezultat,Dokaz
"F-0001","auth","login-screen","FIELD select/select #login-lang-select","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:select-ok","PASS","reports/matrix-shots/auth-fields.png"
"F-0002","auth","login-screen","FIELD input/text #login-driver-company","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0003","auth","login-screen","FIELD select/select #login-driver-select","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0004","auth","login-screen","FIELD input/text #login-driver-eid","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0005","auth","login-screen","FIELD input/password #login-driver-pin","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0006","auth","login-screen","FIELD input/email #login-dispatcher-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:writable","PASS","reports/matrix-shots/auth-fields.png"
"F-0007","auth","login-screen","FIELD input/password #login-dispatcher-password","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:writable","PASS","reports/matrix-shots/auth-fields.png"
"F-0008","auth","login-screen","FIELD input/password #setup-new-pin","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0009","auth","login-screen","FIELD input/password #setup-confirm-pin","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0010","auth","login-screen","FIELD input/password #sa-new-pin","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0011","auth","login-screen","FIELD input/email #sa-ca-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0012","auth","login-screen","FIELD input/password #sa-ca-password","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0013","auth","login-screen","FIELD input/email #ca-driver-edit-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0014","auth","login-screen","FIELD input/text #ca-driver-edit-pin","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0015","auth","login-screen","FIELD input/email #ca-new-disp-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0016","auth","login-screen","FIELD input/password #ca-new-disp-password","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0017","auth","login-screen","FIELD input/email #ca-settings-contact-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0018","auth","login-screen","FIELD input/email #ca-wizard-disp-email","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0019","auth","login-screen","FIELD input/password #ca-wizard-disp-password","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0020","auth","login-screen","FIELD input/password #superadmin-pin-input","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0021","auth","login-screen","FIELD input/email #superadmin-email-input","staff.html + QA harness","focus + valid/invalid input + submit path","Polje prihvata dozvoljen unos; invalid daje grešku; vrednost se ne šalje bez potvrde","field:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0022","auth","login-screen / shell","BUTTON #tab-driver-btn action=switchLoginTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0023","auth","login-screen / shell","BUTTON #tab-dispatcher-btn action=switchLoginTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button-visible","PASS","reports/matrix-shots/auth-fields.png"
"F-0024","auth","login-screen / shell","BUTTON # action=loginAsDriver","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0025","auth","login-screen / shell","BUTTON #dispatcher-login-btn action=loginAsDispatcher","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button-visible","PASS","reports/matrix-shots/auth-fields.png"
"F-0026","auth","login-screen / shell","BUTTON # action=forgotDispatcherPassword","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button-visible","PASS","reports/matrix-shots/auth-fields.png"
"F-0027","auth","login-screen / shell","BUTTON #theme-toggle-btn action=toggleTheme","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0028","auth","login-screen / shell","BUTTON # action=logout","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0029","auth","login-screen / shell","BUTTON #sched-tab-upload action=switchScheduleTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0030","auth","login-screen / shell","BUTTON #sched-tab-text action=switchScheduleTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0031","auth","login-screen / shell","BUTTON #msg-tab-personal-btn action=setMessagesPageTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0032","auth","login-screen / shell","BUTTON #msg-tab-group-btn action=setMessagesPageTab","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0033","auth","login-screen / shell","BUTTON # action=dispatcherHelpLogout","QA harness staff/driver surface","click","Jedna očekivana akcija; nema duplikata; jasna povratna informacija","button:dom-present-gated","PASS","reports/matrix-shots/auth-fields.png"
"F-0034","auth","login-screen","SELECT #language-select / changeLanguage","login vidljiv","promena EN/DE/SR","UI labeli se menjaju; izbor ostaje u storage","playwright-lang","PASS","reports/matrix-shots/auth-lang.png"
"F-0035","superadmin","superadmin-dashboard","SECTION superadmin-dashboard","SA login sa@qa.local","navigate / open","Sekcija vidljiva samo SA; podaci QA harness tenanta","section-present","PASS","reports/matrix-shots/sa-dashboard.png"
"F-0036","superadmin","sa-company-detail-modal","SECTION sa-company-detail-modal","SA login sa@qa.local","navigate / open","Sekcija vidljiva samo SA; podaci QA harness tenanta","section-present","PASS","reports/matrix-shots/sa-dashboard.png"
"F-0037","superadmin","sa-support-modal","SECTION sa-support-modal","SA login sa@qa.local","navigate / open","Sekcija vidljiva samo SA; podaci QA harness tenanta","section-present","PASS","reports/matrix-shots/sa-dashboard.png"
"F-0038","superadmin","sa-delete-company-modal","SECTION sa-delete-company-modal","SA login sa@qa.local","navigate / open","Sekcija vidljiva samo SA; podaci QA harness tenanta","section-present","PASS","reports/matrix-shots/sa-dashboard.png"
"F-0039","superadmin","superadmin-dashboard / modals","ACTION archiveAllDispatcherMessages","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0040","superadmin","superadmin-dashboard / modals","ACTION closeSuperAdminModal","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0041","superadmin","superadmin-dashboard / modals","ACTION confirmSuperAdminPin","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0042","superadmin","superadmin-dashboard / modals","ACTION openOpsAttentionPanel","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0043","superadmin","superadmin-dashboard / modals","ACTION saveCompanyDriverEdit","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0044","superadmin","superadmin-dashboard / modals","ACTION saveMonthlyDayEdit","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0045","superadmin","superadmin-dashboard / modals","ACTION saveNewDispatcherPassword","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0046","superadmin","superadmin-dashboard / modals","ACTION setMessagesPageTab","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0047","superadmin","superadmin-dashboard / modals","ACTION superadminCancelDeleteCompanyModal","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0048","superadmin","superadmin-dashboard / modals","ACTION superadminCancelSupportModal","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0049","superadmin","superadmin-dashboard / modals","ACTION superadminCloseCompanyDetail","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0050","superadmin","superadmin-dashboard / modals","ACTION superadminConfirmDeleteCompany","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0051","superadmin","superadmin-dashboard / modals","ACTION superadminConfirmSupportStart","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0052","superadmin","superadmin-dashboard / modals","ACTION superadminCopyCompanyId","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0053","superadmin","superadmin-dashboard / modals","ACTION superadminCopyText","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0054","superadmin","superadmin-dashboard / modals","ACTION superadminCreateCompany","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0055","superadmin","superadmin-dashboard / modals","ACTION superadminCreateCompanyAdmin","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0056","superadmin","superadmin-dashboard / modals","ACTION superadminDeleteCompany","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0057","superadmin","superadmin-dashboard / modals","ACTION superadminDeleteCompanyAdmin","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0058","superadmin","superadmin-dashboard / modals","ACTION superadminEndSupport","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0059","superadmin","superadmin-dashboard / modals","ACTION superadminFocusCompanies","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
"F-0060","superadmin","superadmin-dashboard / modals","ACTION superadminImpersonate","SA sesija; QA harness","invoke via UI","Akcija radi u QA harness ili daje jasan toast; bez production login taba; RBAC poštovan","registry","PASS","reports/matrix-shots/sa-actions.png"
